Wavelength,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6
427,3.421,3.536,1.552,1.776,6.372,3.203
427.5,3.209,3.289,1.528,1.808,6.283,3.225
428,2.983,3.057,1.49,1.817,6.204,3.242
428.5,2.902,2.969,1.425,1.806,6.178,3.225
429,2.829,2.921,1.344,1.812,6.132,3.224
429.5,2.822,2.944,1.298,1.791,6.096,3.24
430,2.857,3.123,1.274,1.776,6.019,3.252
430.5,2.841,3.161,1.236,1.696,5.991,3.207
431,2.706,3.07,1.223,1.657,5.917,3.155
431.5,2.619,2.909,1.271,1.651,5.871,3.125
432,2.512,2.793,1.355,1.732,5.832,3.141
432.5,2.456,2.636,1.436,1.82,5.783,3.144
433,2.391,2.566,1.479,1.869,5.713,3.136
433.5,2.389,2.52,1.51,1.883,5.706,3.103
434,2.381,2.496,1.541,1.953,5.667,3.114
434.5,2.48,2.584,1.494,1.95,5.621,3.116
435,2.543,2.699,1.402,1.889,5.588,3.114
435.5,2.547,2.727,1.322,1.809,5.6,3.101
436,2.489,2.705,1.275,1.746,5.608,3.109
436.5,2.45,2.665,1.237,1.715,5.583,3.117
437,2.383,2.662,1.199,1.673,5.581,3.067
437.5,2.205,2.53,1.2,1.586,5.563,3.034
438,2.132,2.443,1.245,1.578,5.502,2.995
438.5,2.035,2.306,1.28,1.595,5.425,2.909
439,1.96,2.205,1.321,1.612,5.318,2.857
439.5,1.898,2.049,1.271,1.59,5.254,2.772
440,1.697,1.84,1.209,1.554,5.2,2.711
440.5,1.576,1.733,1.171,1.546,5.207,2.689
441,1.451,1.613,1.176,1.563,5.233,2.721
441.5,1.309,1.479,1.16,1.57,5.234,2.758
442,1.216,1.423,1.153,1.568,5.238,2.769
442.5,1.104,1.375,1.169,1.567,5.19,2.868
443,1.14,1.424,1.252,1.663,5.081,2.985
443.5,1.273,1.546,1.313,1.716,4.978,3.009
444,1.426,1.698,1.336,1.735,4.924,3.023
444.5,1.424,1.659,1.323,1.704,4.922,2.971
445,1.294,1.564,1.25,1.628,4.914,2.891
